,date,SUNPHARMA,INFY,HEROMOTOCO,LUPIN,WIPRO,DRREDDY,BPCL,HCLTECH,MARICO,HINDPETRO,DABUR,TMCV,TCS,HINDUNILVR,BHEL,PNB,TATASTEEL,BRITANNIA,RELIANCE,TVSMOTOR,ONGC,ICICIBANK,SBIN,AXISBANK,KOTAKBANK,POWERGRID,BANKBARODA,NESTLEIND,TECHM,CIPLA,JSWSTEEL,ABB,M&M,GRASIM,GAIL,SIEMENS,HINDALCO,MARUTI,ACC,SAIL,HDFCBANK,SHREECEM,NTPC,ITC,COLPAL,BAJAJ-AUTO,LT,CANBK,ULTRACEMCO,AMBUJACEM,GODREJCP
0,2024-04-01 00:00:00+05:30,1630.8,1495.8,4568.55,1623.4,231.8,1250.15,277.25,1556.45,495.95,294.1,529.1,,3915.25,2286.65,253.85,122.0,155.85,4891.2,1484.75,2140.1,251.35,1099.25,758.2,1052.95,357.9,280.0,250.45,1292.95,1195.0,1496.35,871.3,6508.35,1915.4,2291.1,170.35,4161.05,568.3,12570.3,2544.4,140.7,735.1,26486.65,342.25,361.45,2713.65,8817.6,3836.85,110.65,9956.2,621.45,1227.1
1,2024-04-02 00:00:00+05:30,1622.05,1483.2,4449.5,1609.9,229.95,1247.0,284.2,1528.1,498.2,302.5,531.3,,3882.6,2286.5,252.2,123.15,157.4,4895.45,1485.65,2150.35,253.45,1081.3,767.35,1047.6,351.35,279.5,255.0,1311.3,1187.0,1488.35,878.85,6429.15,1971.85,2307.85,171.25,4250.55,571.25,12551.35,2648.45,147.85,740.0,26519.65,344.8,360.7,2782.2,9047.35,3806.85,111.8,10039.9,634.45,1209.65
2,2024-04-03 00:00:00+05:30,1622.4,1480.75,4444.7,1604.6,231.05,1224.5,281.85,1536.1,496.45,297.35,531.3,,3947.25,2265.8,251.8,131.4,156.35,4828.2,1471.2,2105.05,256.25,1077.1,770.95,1063.4,346.3,280.3,257.9,1275.6,1206.0,1470.65,868.8,6505.4,1989.25,2305.35,176.75,4301.5,576.6,12428.8,2633.2,148.15,741.3,26351.4,351.6,360.3,2803.65,8854.75,3782.3,113.95,9999.75,635.0,1190.0
3,2024-04-04 00:00:00+05:30,1620.0,1486.6,4411.5,1586.95,233.0,1228.25,276.2,1539.65,491.85,289.25,505.95,,4003.05,2265.55,251.45,131.3,156.15,4815.15,1463.2,2087.1,250.35,1076.85,759.25,1062.7,349.75,277.6,253.05,1274.5,1228.2,1459.75,862.5,6500.2,2002.45,2279.3,174.3,4284.95,577.85,12576.8,2614.85,145.9,763.95,25918.0,354.75,358.15,2713.15,8916.3,3800.0,114.15,10006.6,624.15,1176.8
4,2024-04-05 00:00:00+05:30,1609.15,1479.5,4413.05,1598.15,231.85,1235.0,272.4,1545.5,509.4,288.9,507.75,,3979.55,2267.7,254.85,132.65,156.1,4811.55,1460.0,2068.55,249.4,1082.35,764.35,1058.2,357.05,278.3,252.4,1269.05,1213.1,1448.65,856.5,6665.9,2015.05,2237.55,178.2,4294.2,569.9,12424.65,2574.9,146.15,774.7,25807.85,354.4,362.45,2729.75,8786.0,3741.65,115.6,9824.05,627.35,1209.35
5,2024-04-08 00:00:00+05:30,1599.6,1477.05,4481.45,1612.65,229.4,1234.3,272.95,1539.8,517.7,289.6,503.0,,3972.7,2269.15,256.3,129.2,157.85,4827.6,1485.5,2133.1,251.7,1086.85,768.4,1075.2,357.6,281.75,251.25,1248.9,1215.3,1461.8,876.6,6697.05,2078.85,2280.5,187.65,4316.85,576.7,12849.15,2583.45,146.2,773.0,25967.85,363.4,363.45,2698.75,8805.25,3805.6,115.2,9863.4,630.3,1246.15
6,2024-04-09 00:00:00+05:30,1602.8,1494.7,4407.75,1605.05,227.4,1233.6,270.15,1540.8,509.65,287.35,503.1,,3947.15,2264.35,255.75,128.7,158.65,4795.55,1463.55,2098.6,250.3,1107.2,764.15,1080.75,356.45,280.95,249.15,1251.65,1201.05,1450.2,874.65,6527.55,2090.8,2303.2,190.45,4267.95,588.75,12891.15,2525.2,151.2,774.3,25976.45,363.05,361.15,2620.75,8755.75,3784.5,114.3,9770.3,623.3,1237.1
7,2024-04-10 00:00:00+05:30,1604.0,1506.7,4384.85,1605.5,228.05,1231.9,279.2,1539.1,515.1,306.05,506.4,,3982.55,2263.2,262.5,132.45,157.85,4807.45,1479.3,2097.05,253.1,1109.45,779.0,1087.3,365.0,282.45,254.2,1263.35,1216.25,1422.5,883.8,6637.45,2075.6,2307.1,188.9,4254.75,601.95,12676.95,2524.85,153.0,767.9,25650.5,363.15,370.1,2654.05,8780.5,3754.95,115.3,9819.6,625.55,1230.25
8,2024-04-12 00:00:00+05:30,1539.65,1485.05,4333.55,1623.3,225.05,1216.9,277.25,1520.85,514.35,300.1,500.9,,4000.3,2233.0,262.45,130.95,156.25,4749.65,1467.55,2045.75,247.3,1104.15,766.75,1073.6,362.7,275.2,251.6,1268.1,1192.5,1396.4,866.45,6749.4,2070.15,2253.25,188.0,4248.2,597.55,12274.6,2467.85,155.4,759.45,25487.75,361.65,364.35,2662.2,8846.5,3678.2,113.85,9646.95,609.65,1199.5
9,2024-04-15 00:00:00+05:30,1541.15,1468.3,4273.15,1608.35,219.5,1202.0,272.2,1505.45,509.0,292.9,495.25,,3941.65,2194.6,256.4,129.1,153.7,4764.05,1466.45,1999.35,260.35,1078.8,756.85,1058.55,359.55,274.15,245.3,1276.0,1169.85,1381.25,860.35,6559.95,2050.25,2240.35,190.4,4148.0,612.65,12426.55,2441.95,151.0,747.5,25282.2,361.35,360.8,2672.1,8773.45,3600.85,111.5,9502.2,606.8,1176.7
